Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
甲	KŌ, KAN, kōra, yoroi		L1	1318	5	甲虫 [KŌCHŪ] - beetle; 甲種 [KŌSHU] - ‘A Grade’; 甲高い [KANdakai] - shrill		AN ‘A 1’ FIELD.	
江	KŌ, e	inlet, river	L1	1319	6	入り江 [irie] - inlet, river; 江湖 [KŌKO] - world at large; 江戸 [Edo] - Edo, old Tokyo		FIND CARPENTER’S SET-SQUARE IN WATERS OF INLET	
坑	KŌ	mine, pit, hole	L1	1320	7	炭坑 [TANKŌ] - coal mine; 坑夫 [KŌFU] - miner; 坑道 [KŌDŌ] - mine shaft	Seal ( 阬 ) ; 坑 itself is a late, post- Shuowen graph. Shuowen has 阬 , consisting of 阜 ( 阝 ) 1907 ‘hill, terraced slopes’, with 亢 (‘neck / throat, high, high spirits’, see 505) as phonetic with associated sense taken as ‘high’, giving ‘high/big hill’. This is the opposite meaning to 坑 , and Katō looks to explain the discrepancy on the basis of use of 阬 as a substitute writing for another homophonous / near-homophonous CO graph 隍 ‘dry moat’, and by extension ‘pit, hole’; such substitutions were common in early texts. Katō’s implication is that once this substitution became common, 土 64 ‘earth, ground, soil’ replaced 阜 ( 阝 ) as the determinative, resulting in a graph whose components then appeared more logical as a way of writing the word for ‘pit, hole’. An alternative interpretation, based on an explanation of 阬 in the ancient Chinese encyclopaedic dictionary Erya , takes 阝 here in the uncommon sense ‘hollow’, thus giving ‘hollowed-out pit’ (Tōdō). According to this interpretation, 亢 is being taken as the original way of writing 坑 . KJ1970:161; TA1965:398-401; OT1968:213; AS2007:250. As with 505, we suggest taking 亢 as a desk and top, and here 土 in its meaning of ‘soil’.	SOILED DESKTOP IS PITTED WITH HOLES	images/Chapter7_img_432.jpg
抗	KŌ	resist, oppose	L1	1321	7	抗議 [KŌGI] - protest; 対抗 [TAIKŌ] - opposition; 抗争 [KŌSŌ] - dispute	Seal ; a late graph ( Shuowen ). Has 扌 34 ‘hand’, and 亢 505 (‘neck / throat, high’) as phonetic with associated sense taken typically as ‘defend, fend off’, giving ‘defend with the hands’. Ogawa, alternatively, takes 亢 in one of its meanings as ‘high’, giving ‘raise up high’, possibly meaning ‘raise the hands high (to protect the throat)’; the original meaning of 亢 is typically taken to be ‘neck, throat’; Tōdō takes it more specifically as ‘carotid artery’. KJ1970:391; TA1965:385-91; OT1968:402. As with 505 and 1320, we suggest taking 亢 as a desk and top.	HAND THUMPED ON DESKTOP SHOWS OPPOSITION	images/Chapter7_img_433.jpg
攻	KŌ, se	attack	L1	1322	7	攻撃者 [KŌGEKISHA] - aggressor; 専攻 [SENKŌ] - specialty; 攻め入る [semeiru] - invade		ATTACK, STRIKING WITH CARPENTER’S SQUARE	
更	KŌ, sara, fu	anew, change, grow late, again	L2	1323	7	更新 [KŌSHIN] - renewal; 今更 [imasara] - now, belatedly; 夜更け [yofuke] - late at night		DAY GROWS LATE, FORCING CHANGE	
拘	KŌ, kakawa	seize, adhere to	L1	1324	8	拘束 [KŌSOKU] - restriction; 拘引 [KŌIN] - arrest; 拘らず [kakawarazu] - regardless	Seal ; late graph ( Shuowen ). Has 扌 34 ‘hand’, and 句 683 (‘phrase’; orig. threads or similar intertwined or hooked together) as phonetic with associated sense taken as i] ‘stop’, thus ‘stop with the hand’ (Katō, Ogawa), or ii] ‘bent’ (like a hook, etc.), thus ‘pull and stop’ (Shirakawa). KJ1970:279; OT1968:407; SS1984:294. Take 句 as ‘mouth’ 口 22 with hook.	SEIZE BY HANDY HOOK IN THE MOUTH or SEIZE ONTO A HANDY PHRASE	images/Chapter7_img_439.jpg
肯	KŌ	consent, agree, vital	L2	1325	8	首肯 [SHUKŌ] - consent; 肯定 [KŌTEI] - affirmation; 肯定的 [KŌTEITEKI] - affirmative		CONSENT TO MEAT STOPPAGE	
侯	KŌ	marquis, lord	L1	1326	9	侯爵 [KŌSHAKU] - marquis; 大田侯 [ŌtaKŌ] - Marquis Ōta; 王侯 [ŌKŌ] - royalty		PERSON WITH ARROW AND QUIVER IS A LORD [/ MARQUIS]	
恒	KŌ, tsune	always, constant	L1	1327	9	恒常 [KŌJŌ] - constancy; 恒久 [KŌKYŪ] - perpetuity; 恒例 [KŌREI] - common usage		FEELINGS CONSTANT OVER TWO DAYS	
洪	KŌ	flood, vast	L2	1328	9	洪水 [KŌZUI] - flood; 洪積層 [KŌSEKISŌ] - diluvium; 洪大 [KŌDAI na] - vast	Seal ; a late graph ( Shuowen ). Has 氵 42 ‘water(s)’, and 共 484 (‘together’) as phonetic with associated sense taken as ‘big’, thus giving ‘flood’ (Ogawa), and by extension ‘vast, great’; Tōdō takes associated sense as either ‘fall, descend’ or ‘thick’. On a geo-historical note, in the Shuowen jiezi of ca.100AD, the first dictionary of Chinese characters (total: 9353) arranged according to a system of determinatives (540 in total) there are a quite remarkably frequent number relating to water and flood(/s). One may surmise that there was serious flooding around that time, even beyond China’s borders, as recorded in documentation in other countries. OT1968:572; TA1965:231,316.	WHEN WATERS COME TOGETHER, YOU HAVE A VAST FLOOD	images/Chapter7_img_448.jpg
荒	KŌ, ara	rough, wild, waste	L2	1329	9	荒天 [KŌTEN] - wild weather; 荒地 [areCHI] - wasteland; 荒波 [aranami] - rough sea		RIVER AND DEAD GRASS IN WILD WASTELAND	
郊	KŌ	suburbs	L2	1330	9	郊外 [KŌGAI] - suburbs; 近郊 [KINKŌ] - suburbs; 郊野 [KŌYA] - suburban fields	Seal ; late graph ( Shuowen ). Has 阝 376 (‘village’), and 交 128 ‘mix/cross/exchange’ as phonetic with associated sense taken as i] ‘cross paths’, thus ‘outskirts (of city)’ (Tōdō); or ii] ‘fire festival’, giving ‘place outside city walls to conduct fire festival’ (Ogawa); or iii] ‘having a common boundary’ (Gu). Gu follows Shuowen definition of 郊 as originally denoting areas within 100 li of the capital. TA1965:270; OT1968:1019; GY2008:696.	VILLAGE MIXES WITH SUBURBS	images/Chapter7_img_451.jpg
香	KŌ, ka, kao	fragrance, incense	L1	1331	9	香水 [KŌSUI] - perfume; 香気 [KŌKI] - scent, fragrance; 色香 [iroka] - female charms		SUN BRINGS OUT FRAGRANCE OF GRAIN PLANTS	
貢	KŌ, KU, mitsu	tribute	L1	1332	10	貢献 [KŌKEN] - contribution; 年貢 [NENGU] - tax, dues; 貢物 [mitsugimono] - tribute	Seal . Has 貝 10 ‘shell (currency), valuables’, and 工 125 (‘work’/‘tool’) as phonetic with associated sense typically taken as ‘offer up with the hands’, giving ‘valuables to offer up to one’s lord’, i.e. ‘tribute’. An alternative associated sense given for 工 is ‘pass through and advance’, giving a specific meaning of ‘send produce from the regions to the Capital for the Imperial Court’ (noted by Mizukami). Mizukami also lists possible OBI and bronze equivalents for 貢 . MS1995:v2:1232-3; KJ1970:406-7; OT1968:953.	SHELL-MONEY AND WORK ARE FORMS OF TRIBUTE	images/Chapter7_img_454.jpg
控	KŌ, hika	refrain, wait, write down	L1	1333	11	控え所 [hikaeJO] - waiting room; 控訴 [KŌSO] - legal appeal; 控え書き [hikaegaki] - memo, note	Seal ; a late graph ( Shuowen ). Has 扌 34 ‘hand’, and 空 17 (‘sky’) as phonetic with associated sense ‘pull’, giving ‘pull with the hand’ (e.g. a bow); Ogawa takes associated sense as ‘hang, and bend’, giving a similar overall sense ‘draw back/in’, as in drawing back a bow, and also drawing or pulling in reins of a horse. By extension, ‘pull back, refrain’. ‘Wait’ and ‘write down’ are meanings found in Japanese usage only. KJ1970:401; OT1968:417; SS1984:305; GY2008:123.	REFRAIN, HANDS REACHING FOR THE SKY	images/Chapter7_img_455.jpg
梗	KŌ, KYŌ	block, mostly, close (off/up)	L1	1334	11	梗概 [KŌGAI] - outline, summary; 梗塞 [KŌSOKU] - stoppage; 桔梗 [KIKYŌ] - bell-flower	Seal ; a late graph ( Shuowen ). Has 木 73 ‘tree, wood’, and 更 1323 (‘anew, change’, ‘again’) as phonetic with associated sense taken either as i] ‘thorn’ (Ogawa), or ii] ‘make hard’ (Shirakawa), in either case referring originally to a thorny tree, specifically ‘mountain elm’. Meanings such as ‘resist, prevent, block’ and ‘trunk/stem, branch’ may be seen as extended senses. The meaning ‘outline, summary’, as in 梗概 listed above, is treated by Gu as an extended sense (in effect, a further extended sense) based on 梗 having ‘trunk and stem’ as meanings. OT1968:507; SS1984:305-6; GY2008:1200.	ONCE AGAIN, IT’S MOSTLY BLOCKED OFF BY A TREE	images/Chapter7_img_456.jpg
喉	KŌ, nodo	throat, vital	L1	1335	12	喉仏 [nodobotoke] - Adam’s apple; 喉頭 [KŌTŌ] - larynx; 咽喉 [INKŌ] - throat	Seal ; a late graph ( Shuowen ). Has 口 22 ‘mouth, opening’, and 侯 1326 (‘marquis’, q.v.) as phonetic with associated sense taken by Ogawa as ‘hole, cavity’, giving ‘throat’. Schuessler regards the etymology of the early Chinese word represented by 喉 as uncertain, while Shirakawa treats it as ‘probably onomatopoeic’ in nature. ‘Vital/key point’ is an extended sense. OT1968:189; AS2007:279; GY2008:1424; SS1984:306-7. We suggest remembering it through ‘marquis’.	MARQUIS GETS ARROW THROUGH MOUTH INTO THE THROAT	images/Chapter7_img_457.jpg
慌	KŌ, awa	be flustered	L1	1336	12	恐慌 [KYŌKŌ] - panic, scare; 大慌て [ōawate] - big fluster; 慌て者 [awatemono] - scatterbrain		WILD FEELINGS MAKES ONE FLUSTERED	
硬	KŌ, kata	hard	L2	1337	12	硬化 [KŌKA] - hardening; 硬貨 [KŌKA] - coin; 硬水 [KŌSUI] - hard water		ONCE AGAIN, CHANGE TO STONE AND BECOME HARD	
絞	KŌ, shi	strangle, wring	L2	1338	12	絞首台 [KŌSHUDAI] - gallows; 絞め殺す [shimekorosu] - strangle; 絞り出す [shiboridasu] - squeeze out	Seal ; a late graph ( Shuowen ). Has 糸 29 ‘thread’, and 交 128 ‘cross, exchange’ as semantic and phonetic, giving ‘fasten by entwining cord (or similar) around’. TA1965:269; KJ1970:174; OT1968:777.	ALAS, STRANGLED WITH CROSSED THREADS	images/Chapter7_img_458.jpg
項	KŌ, unaji	clause, item, nape	L1	1339	12	項目 [KŌMOKU] - clause, item; 事項 [JIKŌ] - matters; 条項 [JŌKŌ] - articles	Seal ; a late graph ( Shuowen ). Has 頁 103 ‘head’, and 工 125 (‘work, tool’) as phonetic with associated sense ‘back, rear’, giving ‘back of the head’, and by extension ‘back/nape of the neck’. Additionally, Tōdō and Shirakawa both attribute a semantic element to 工 here, denoting a physical connection between, or support for, something above and below (head and torso); if accepted, this view perhaps provides a basis for taking other meanings such as ‘clause’ and ‘item’ as extended senses, as seen for example in the English term ‘header’ in documents. KJ1970:162; OT1968:1101; GY2008:780; TA1965:306; SS1984:308.	WORK HEADINGS INCLUDE ITEMISED CLAUSES	images/Chapter7_img_459.jpg
溝	KŌ, mizo, dobu	ditch, channel	L1	1340	13	下水溝 [GESUIKŌ] - drain; 溝切り [mizokiri] - grooving; 溝鼠 [dobunezumi] - sewer rat	Seal ; a late graph ( Shuowen ). Has 氵 42 ‘water’, and 冓 ‘(type of) container’ as semantic and phonetic, giving ‘water channel, ditch’. Note: 冓 is a CO graph and was originally (OBI) a pictograph of a two-tiered bamboo container or basket(s) (Mizukami), or – in Shirakawa’s interpretation – a spinning device for bringing threads together, either way giving ‘put together, assemble’ as an extended sense. See also 701. OT1968:600; MS1995:v1:110-11; SS1984:309, 300-301. We suggest taking 井 as ‘a well’ 1575 and 再 as ‘again, twice’ 706.	BUILD WATER CHANNEL TWICE FROM WELL	images/Chapter7_img_460.jpg
綱	KŌ, tsuna	cable, line, principle	L1	1341	14	要綱 [YŌKŌ] - gist; 大綱 [TAIKŌ] - main principles; 綱引き [tsunabiki] - tug-of-war	Seal ; a late graph ( Shuowen ). Has 糸 29 ‘thread’, and 岡 1068 (‘hill’) as phonetic with associated sense taken in a semantic range signifying strength, viz. ‘big and strong’ (Ogawa), ‘thick, fat’ (Katō), ‘hard and straight’ (Tōdō); resultant overall meaning is ‘thick strong rope’, or (Tōdō) ‘hard, straight rope/cable’. OT1968:781; KJ1970:159; TA1965:385-91.	CABLE THREADS UP THE HILL	images/Chapter7_img_461.jpg
酵	KŌ	ferment, yeast	L1	1342	14	酵母 [KŌBO] - yeast; 酵素 [KŌSO] - enzyme; 発酵 [HAKKŌ] - fermentation		FILIAL PIETY SHOWN IN THE FORM OF WINE FROM FERMENTED YEAST!?	
稿	KŌ	manuscript, straw	L1	1343	15	原稿 [GENKŌ] - manuscript; 投稿 [TŌKŌ] - contributed article; 草稿 [SŌKŌ] - rough draft	Seal ; a late graph ( Shuowen ). Has 禾 87 ‘grain (plant)’, and 高 132 (‘high, tall’) as phonetic with associated sense taken as i] ‘rise up high’ (Katō, Tōdō), or ii] ‘withered and hard’ (Ogawa), in either case giving ‘straw’. Regarding the meaning ‘rough draft/manuscript’, this appears to be a loan usage, though it may be that there was a semantic connection deriving from the perception of straw as something rough or coarse. The meaning ‘straw’ is now effectively defunct. KJ1970:164; OT1968:736; TA1965:261-3.	MANUSCRIPT ABOUT TALL GRAIN-PLANTS	images/Chapter7_img_462.jpg
衡	KŌ, kubiki	scales, yoke	L1	1344	16	均衡 [KINKŌ] - balance; 平衡 [HEIKŌ] - equilibrium; 衡器 [KŌKI] - scales		BIG STUMPY HORNS GO ON THE SCALES	
購	KŌ	buy	L1	1345	17	購入 [KŌNYŪ] - purchase; 購買 [KŌBAI] - buying; 購読 [KŌDOKU] - subscription	Seal ; a late graph ( Shuowen ). Has 貝 10 ‘shell (currency), valuables’, and 冓 (see 溝 1340 Note) as phonetic with associated sense taken in one view as ‘exhaustively try all means’, giving ‘buy in aggressively’, and ‘buy’ as the generalized sense (Ogawa). Shirakawa, alternatively, takes the associated sense of 冓 as ‘bring together’, and considers the original meaning of 購 as probably having been ‘reconciliation, compromise’. See also 701. OT1968:962; SS1984:315,300-01; DJ2009:v2:511. As with 1340, we suggest taking 井 as ‘a well’ 1575 and 再 as ‘twice’ 706.	BUY A WELL TWICE USING SHELL MONEY	images/Chapter7_img_467.jpg
乞	ko	beg	L1	1346	3	乞食 [koJIKI] - beggar, begging; 暇乞い [itomagoi] - farewell visit; 雨乞い [amagoi] - praying for rain		THAT ODD PERSON IS A BEGGAR	
拷	GŌ	torture, hit	L1	1347	9	拷問 [GŌMON] - torture; 拷問台 [GŌMONDAI] - the rack; 拷器 [GŌKI] - torture instruments		CONSIDER USING HAND FOR TORTURE	
剛	GŌ	strength	L1	1348	10	剛健 [GŌKEN] - fortitude; 剛毛 [GŌMŌ] - bristle; 剛直 [GŌCHOKU] - integrity		CUTTING DOWN A HILL TAKES STRENGTH	
傲	GŌ, ogo	proud, haughty	L1	1349	13	傲慢 [GŌMAN] - pride, arrogance; 傲岸 [GŌGAN] - arrogance; 傲然と [GŌZEN to] - haughtily	Seal ; a late graph ( Shuowen ). Has CO 敖 ‘enjoy oneself’ (originally, ‘emerge vigorously to a height’; see Note below) as semantic and phonetic, and 亻 41 ‘person’. Ogawa interprets 亻/人 as having been added to 敖 so as to denote mainly ‘enjoy oneself at will ’ (our italics). If, though, the interpretation of the original meaning of 敖 as ‘emerge vigorously to a height’ (Katō) is accepted, the addition of 亻/人 to create 傲 can be taken as ‘person emerges vigorously above others’, giving ‘act arrogantly’ as an extended sense. Shirakawa, alternatively, looks to interpret both 敖 and 傲 as having a ritualistic origin. Note: 敖 is taken in one view as consisting of 屮 ’shoot of vegetation’, plus 攷 (CO ‘hit and bend’) as phonetic with associated sense ‘emerge vigorously to a height’, giving ‘sprouts of vegetation emerge’ (Katō). Shirakawa offers a quite different analysis, interpreting as representing the corpse of a long-haired old person being ritualistically beaten on a stand. OT1968:78,440,435; KJ1970:184; SS1984:318; AS2007:151. We suggest taking components as 亻 41 ‘person’, 土 64 ‘ground’, 方 223 ‘side’, and 攵 112 ‘strike’.	HAUGHTY PERSON STRUCK ON SIDE AND GOES TO GROUND	images/Chapter7_img_472.jpg
豪	GŌ	strong, splendid, Australia, brush	L1	1350	14	豪州 [GŌSHŪ] - Australia; 豪壮 [GŌSŌ] - splendor; 豪雨 [GŌU] - heavy rain	Seal ; a late graph ( Shuowen ). Has 豕 89 ‘wild pig, boar (or similar)’, and 132 (abbreviation of 高 ‘tall, high’) as phonetic with associated sense taken either as i] ‘coarse animal hair’, giving ‘porcupine’ (Ogawa; Gu also in agreement), or ii] ‘long’, giving ‘boar/wild pig with long mane’ (Tōdō). ‘Bristle’ gives rise to’ brush’. ‘Outstanding/splendid’ is taken by Gu as an extended sense based on the fierce nature of the porcupine, this being perceived as a positive characteristic, though it seems this might perhaps be more understandable if the graph were taken as referring to a type of wild pig. Also used sometimes in abbreviated written style as a single-graph writing meaning ‘Australia’, and in the compound writing 豪州 GŌSHŪ ‘Australia’ (formerly written 濠州 ); in the latter case, 豪 tends to be used today in place of NJK 濠 (‘moat’). OT1968:950; GY2008:1744; TA1965:264. We suggest taking the graph as a combination of ‘house’ 家 89 and variant ‘tall’ 高 132.	AUSTRALIA HAS MANY SPLENDID TALL AND STRONG HOUSES	images/Chapter7_img_473.jpg; images/Chapter7_img_474.jpg
克	KOKU	conquer, endure, overcome	L1	1351	7	克己 [KOKKI] - self-control; 克服 [KOKUFUKU] - subjugation; 克明 [KOKUMEI] - diligence		OLD LEGS CAN STILL ENDURE AND OVERCOME	
酷	KOKU	severe, intense, cruel, harsh	L1	1352	14	酷使 [KOKUSHI] - exploitation; 残酷 [ZANKOKU] - cruelty; 酷暑 [KOKUSHO] - intense heat	Seal ; a late graph ( Shuowen ). Has 酉 318 ‘wine’, and 吿 / 告 507 (‘proclaim’) as phonetic with associated sense ‘brace, draw in’, giving ‘strong-tasting wine that strikes the taste-buds’; sense later generalized to ‘strong-tasting’, and ‘severe’. OT1968:1027-8; TA1965:222; SS1984:322.	SEVERE PROCLAMATION ABOUT WINE	images/Chapter7_img_477.jpg
獄	GOKU	prison, litigation	L1	1353	14	獄門 [GOKUMON] - prison gate; 地獄 [JIGOKU] - hell; 疑獄 [GIGOKU] - criminal case		WORDS IN DOG FIGHT LEAD TO LITIGATION AND PRISON	
駒	koma	colt, chess piece, bridge (violin etc), frame (film)	L1	1354	15	駒下駄 [komaGETA] - low clogs; 駒鳥 [komadori] - robin; 手駒 [tegoma] - shōgi piece		‘COLT’ IS A PHRASE APPLIED TO A HORSE	
込	ko	put in, crowded	L2	1355	5	見込み [mikomi] - prospect; 人込み [hitogomi] - crowd; 込め物 [komemono] - stuffing		IT GETS CROWDED WHEN PEOPLE MOVE TO ENTER	
頃	koro	time, around (time)	L2	1356	11	手頃な [tegoro na] - convenient; 三時頃 [SANJIgoro] - about 3 o’clock; 近頃 [chikagoro] - nowadays	Seal ; a late graph ( Shuowen ). Original meaning of the graph 頃 was ‘tilt/incline the head’ ( 傾 1264), consisting of 匕 , originally probably depicting a bent, withered leg, then borrowed for ’ladle, spoon’, plus 頁 103 ‘head’. Later, 頃 was borrowed to write time-related words such as ‘recently’ and ‘when’, the latter providing the basis for its meaning in Japanese. OT1968:1100; GY2008:602; TA1965:508-9. Suggest taking 匕 as ‘variant’ 七 32 ‘seven’, and a different take on ‘head’.	LET’S HEAD OFF AROUND SEVEN O’CLOCK	images/Chapter7_img_482.jpg
昆	KON	multitude, insect, descendants	L1	1357	8	昆虫 [KONCHŪ] - insects; 昆布 [KONBU] - kelp; 後昆 [KŌKON] - descendants		COMPARE DAYS IN TERMS OF MULTITUDES OF INSECTS	
恨	KON, ura	resent, regret	L1	1358	9	悔恨 [KAIKON] - remorse; 遺恨 [IKON] - grudge; 恨み言 [uramigoto] - grievance		STOP AND STARE WITH FEELINGS OF RESENT AND REGRET	
婚	KON	marriage	L2	1359	11	結婚 [KEKKON] - marriage; 婚約 [KON’YAKU] - engagement; 未婚者 [MIKONSHA] - unmarried person		WOMAN MARRIES HER ‘MISTER’ AS THE SUN GOES DOWN	
痕	KON, ato	vestige, scar, mark, traces	L1	1360	11	痕跡 [KONSEKI] - traces, vestiges; 血痕 [KEKKON] - bloodstain; 弾痕 [DANKON] - bullet hole	Seal ; a late graph ( Shuowen ). Has 疒 404 ‘illness’ (originally, person lying down on bed), and 艮 281 (originally, ‘stop and stare’, ‘be antagonistic’, q.v.) as phonetic with associated sense taken as either i] place which is hardened’ (Ogawa), or ii] ‘steadily remain’ (Tōdō), either way giving overall sense ‘birthmark, scar’. DJ2009:v2:610; OT1968:679; TA1965:707.	ILLNESS LEAVES ITS MARK, AND SOME STOP AND STARE AT IT	images/Chapter7_img_490.jpg
紺	KON	dark blue, dye	L1	1361	11	紺色 [KONiro] - dark blue; 紺屋 [KONya] - dyer; 紫紺 [SHIKON] - bluish purple	Seal ; a late graph ( Shuowen ). Has 糸 29 ‘thread’, and 甘 1139 (‘sweet’) as phonetic with associated sense ‘including red’ (Katō). Shuowen explains 紺 as ‘dark blue tinged with red’.KJ1970:223; DJ2009:v3:1063.	THREADS DYED A SWEET DARK BLUE	images/Chapter7_img_491.jpg
魂	KON, tama, tamashii	soul, spirit	L1	1362	14	霊魂 [REIKON] - soul; 商魂 [SHŌKON] - commercial spirit; 魂消る [tamageru*] - be shocked	Seal; a late graph ( Shuowen ). Has 鬼 1179 ‘soul, spirit, ghost’ (Schuessler has ‘originally: the ghost of a deceased who has returned to haunt [terrorize] the living’), and 云 83 ‘cloud’ (later written 雲 , also NJK for ‘speak, say’) as semantic and phonetic. Shirakawa suggests that in ancient times it was probably thought that a person’s soul was like a hovering cloud. OT1968:1140; GY2008:1539; AS2007:267; SS1984:329.	IT IS SAID THAT ONE’S SPIRIT IS CLOUD-LIKE	
墾	KON	cultivate, reclaim	L1	1363	16	開墾 [KAIKON] - reclamation; 墾田 [KONDEN] - opened fields; 未開墾 [MIKAIKON] - uncultivated	Seal ; late graph (later version of Shuowen ). Has 土 64 ‘earth, ground’, and 貇 as phonetic; 貇 (see Note below) is variant of 豤 (CO, ‘boar bites’). Associated sense of 豤 / 貇 is taken as i] ‘cut down, cut’, giving ‘open up land’ (for cultivation; Ogawa), or ii] ‘clay which is hard to dig up’, giving ‘land extremely hard to dig up’ (Katō), or iii] ‘boar bites/digs down’, giving ‘dig down into the ground’ like a boar’ (Shirakawa). Shirakawa’s interpretation has some persuasiveness. ‘Cultivate/reclaim (land)’ is the extended sense. Note: 豸 , one of a small number of determinatives for wild animals (e.g. as in NJK 豹 HYŌ ‘leopard’) is based on a pictograph originally depicting a beast with arched back ready to pounce on its prey. OT1968:226,950; KJ1970:412; SS1984:329; MS1995:v2:1226-7. Suggest using top right element 艮 281 ‘stop and stare’.	STOP AND STARE AT BOAR DIGGING IN SOIL AS IF CULTIVATING IT	images/Chapter7_img_492.jpg
懇	KON, nengo	friendly, cordial, courteous, kind	L1	1364	17	懇談 [KONDAN] - friendly chat; 懇願 [KONGAN] - entreaty; 懇情 [KONJŌ] - kindliness	Seal ; a late graph (later version of Shuowen ). Has 心 164 ‘heart, mind, feelings’, and 貇 / 豤 1363 (‘boar’ &gt; ‘boar bites/digs’) with associated sense taken variously as i] ‘include’, giving ‘include warm feelings’ (Ogawa), or ii] ‘reach down’, giving ‘reach down into someone’s feelings’ (Shirakawa), or iii] ‘wanting one thing’, giving ‘a pure heart’ (Katō; Gu also), or iv] ‘in detail’, giving ‘be watchful on points of detail’ (Tōdō). OT1968:390; SS1984:330; KJ1970:412; GY2008:1158; TA1965:695-9. As with 1363, we suggest using the top right element 艮 281 as ‘stopping and staring’.	BOAR STOPS AND STARES – HOPEFULLY IT’S FEELING FRIENDLY!	images/Chapter7_img_493.jpg
佐	SA	assist, assistant	L1	1365	7	補佐 [HOSA] - assistant; 佐官 [SAKAN] - field officer; 大佐 [TAISA] - colonel		PERSON ON THE LEFT IS AN ASSISTANT	
沙	SA, isago	news, tidings, sand grains	L3	1366	7	無沙汰 [BUSATA] - neglect to write; 沙漠 [SABAKU] - desert; 取り沙汰 [toriZATA] - gossip, rumor		THE NEWS IS THAT THERE IS LITTLE WATER – NOT GOOD TIDINGS	
唆	SA, sosonoka	entice, incite	L1	1367	10	示唆 [SHISA] - suggestion, hint; 教唆 [KYŌSA] - incitement; 教唆者 [KYŌSASHA] - abettor		RUNNY NOSE, MOUTH AND CROSSED LEGS ARE ENTICING!?	
詐	SA	lie, deceive	L1	1368	12	詐欺師 [SAGISHI] - swindler; 詐取 [SASHU] - fraud; 詐称 [SASHŌ] - misrepresentation	Seal ; a late graph ( Shuowen ). Has 言 118 ‘words; speak’, and 乍 141 (‘make’) as semantic and phonetic, giving ‘make up words, deceive with words’. ( 乍 originally denoted marks made with a cutting instrument; ‘make’ is an extended sense.) MS1995:v2:1192-3,v1:18-9; KJ1970:437; OT1968:924.	MAKE UP WORDS IN DECEITFUL LIE	images/Chapter7_img_496.jpg
鎖	SA, kusari	chain, link	L1	1369	18	鎖国 [SAKOKU] - closed country; 連鎖 [RENSA] - desert; 鎖止め [kusaridome] - sprocket	Seal ; late graph (later version of Shuowen ); traditional 鎖 . Has 金 16 ‘metal’, and 𧴪 (comprising 小 38 [small objects, possibly shells] over 貝 10 ‘shell, shell currency’) is taken in Shuowen as onomatopoeic to represent the sound of shells rubbing together and getting broken up. Alternatively, 𧴪 can be taken as ‘small shells strung together’, and by extension the sound of shells getting broken up (Shirakawa). Based on the interpretation of 𧴪 as ‘small shells strung together’, Ogawa analyzes 鎖 as 金 ‘metal’ with 𧴪 as phonetic with associated sense ‘put together’, giving ‘chain’ made of metal rings joined up. SS1984:334,332; OT1968:1048; GY2008:1441,418-9. Suggest taking as small 小 38.	SMALL SHELLS LINKED TOGETHER ON A METAL CHAIN	images/Chapter7_img_497.jpg; images/Chapter7_img_498.jpg
挫	ZA, kuji	sprain, wrench, frustration	L1	1370	10	捻挫 [NENZA] - sprain, dislocation; 挫折 [ZASETSU] - setback, frustrate; 挫傷 [ZASHŌ] - sprain, fracture	Seal ; a late graph ( Shuowen ). Has 扌 34 ‘hand’, and 坐 (CO; original way of writing 座 880 ‘sit’) as phonetic with associated sense taken as ‘crumble, break down’ (Tōdō says ‘snap and get shorter’), giving ‘break with the hand’, and hence ‘break, crush’; ‘frustrate’ is an extended sense. TA1965:575-7; MS1995:v1:268-9; OT1968:414. As with 880, suggest take 坐 as ‘two people’ 人 41 sitting on the ‘ground’ 土 64.	TWO PEOPLE SITTING ON THE GROUND WITH SPRAINED HANDS	images/Chapter7_img_499.jpg
采	SAI, to	take, appearance, form, land, dice	L2	1371	8	喝采 [KASSAI] - applause; 風采 [FŪSAI] - form, appearance; 采の目 [SAI no me] - dots on dice		SINGLE HAND GATHERS FROM TREE	
砕	SAI, kuda	break, smash	L1	1372	9	砕氷船 [SAIHYŌSEN] - ice-breaker; 砕片 [SAIHEN] - fragment; 砕けた [kudaketa] - informal	Seal ; a late graph ( Shuowen ); traditional 碎 . Has 石 47 ‘stone’, and 卒 564 (‘soldier; end’) as phonetic with associated sense ‘break up small, small’, giving ‘stones get broken up small’; sense then generalized to ‘break, smash’. KJ1970:420; OT1968:710; TA1965:695; FC1974:v2:1578. 卆 is an early calligraphic variant of 卒 , so we suggest ‘nine’ 九 13, and ‘ten’ 十 35.	SMASH ROCK INTO NINETEEN FRAGMENTS	images/Chapter7_img_502.jpg
宰	SAI	administer	L1	1373	10	主宰者 [SHUSAISHA] - leader; 宰領 [SAIRYŌ] - management; 宰相 [SAISHŌ] - prime minister		A BUILDING THAT HOUSES A NEEDLE-SHARP ADMINISTRATION	
栽	SAI	planting	L1	1374	10	盆栽 [BONSAI] - bonsai; 栽培 [SAIBAI] - cultivation; 前栽 [SENZAI*] - garden		TEN HALBERDS PLANTED LIKE TREES	
